Epoch,Ours_Train,Ours_Test,ResNet-50_Train,ResNet-50_Test,ResNet-101_Train,ResNet-101_Test,ResNext-50_Train,ResNext-50_Test,ResNext-101_Train,ResNext-101_Test
1,0.5075075075075075,0.642578125,0.46996996996997,0.517578125,0.4572072072072072,0.48046875,0.4587087087087087,0.611328125,0.4887387387387387,0.544921875
2,0.5825825825825826,0.619140625,0.5563063063063063,0.578125,0.5262762762762763,0.5625,0.5472972972972973,0.529296875,0.5225225225225225,0.5390625
3,0.6313813813813813,0.646484375,0.5690690690690691,0.64453125,0.5187687687687688,0.591796875,0.5367867867867868,0.578125,0.5427927927927928,0.61328125
4,0.6614114114114115,0.66796875,0.5472972972972973,0.64453125,0.5638138138138138,0.59765625,0.5352852852852853,0.62109375,0.5578078078078078,0.611328125
5,0.68993993993994,0.6796875,0.5743243243243243,0.57421875,0.5518018018018018,0.63671875,0.5442942942942943,0.5,0.5585585585585585,0.560546875
6,0.7057057057057057,0.6796875,0.5930930930930931,0.623046875,0.5735735735735735,0.64453125,0.5232732732732732,0.498046875,0.5780780780780781,0.537109375
7,0.740990990990991,0.69140625,0.5983483483483484,0.580078125,0.5825825825825826,0.599609375,0.5427927927927928,0.59765625,0.5915915915915916,0.654296875
8,0.7635135135135135,0.71875,0.5758258258258259,0.591796875,0.5758258258258259,0.642578125,0.5675675675675675,0.59375,0.5833333333333334,0.607421875
9,0.7635135135135135,0.693359375,0.5878378378378378,0.634765625,0.6088588588588588,0.515625,0.5848348348348348,0.595703125,0.581081081081081,0.67578125
10,0.7875375375375375,0.68359375,0.575075075075075,0.583984375,0.5893393393393394,0.62109375,0.566066066066066,0.68359375,0.6081081081081081,0.568359375
11,0.8198198198198198,0.654296875,0.5923423423423423,0.521484375,0.5998498498498499,0.646484375,0.6118618618618619,0.599609375,0.5758258258258259,0.609375
12,0.8085585585585585,0.6796875,0.6088588588588588,0.67578125,0.6073573573573574,0.638671875,0.5855855855855856,0.583984375,0.5893393393393394,0.67578125
13,0.8093093093093093,0.6640625,0.6373873873873874,0.580078125,0.5893393393393394,0.62890625,0.5908408408408409,0.634765625,0.6148648648648649,0.650390625
14,0.8303303303303303,0.65234375,0.6043543543543544,0.640625,0.6223723723723724,0.673828125,0.581081081081081,0.630859375,0.6291291291291291,0.63671875
15,0.8348348348348348,0.697265625,0.6028528528528528,0.47265625,0.6133633633633634,0.66015625,0.6028528528528528,0.615234375,0.6133633633633634,0.580078125
16,0.8701201201201201,0.681640625,0.6201201201201201,0.607421875,0.6186186186186187,0.619140625,0.5953453453453453,0.56640625,0.6036036036036037,0.666015625
17,0.8573573573573574,0.666015625,0.6148648648648649,0.626953125,0.6223723723723724,0.62890625,0.5998498498498499,0.60546875,0.6103603603603603,0.642578125
18,0.8671171171171171,0.72265625,0.6614114114114115,0.638671875,0.5803303303303303,0.576171875,0.6088588588588588,0.623046875,0.6223723723723724,0.64453125
19,0.8483483483483484,0.625,0.6208708708708709,0.548828125,0.6366366366366366,0.65234375,0.6051051051051051,0.66015625,0.6298798798798799,0.63671875
20,0.8558558558558559,0.68359375,0.6381381381381381,0.646484375,0.6171171171171171,0.62890625,0.6261261261261262,0.68359375,0.6028528528528528,0.607421875
21,0.8963963963963963,0.6953125,0.6471471471471472,0.640625,0.6148648648648649,0.619140625,0.6268768768768769,0.53125,0.6103603603603603,0.552734375
22,0.9001501501501501,0.677734375,0.6396396396396397,0.623046875,0.6171171171171171,0.58984375,0.6208708708708709,0.6171875,0.6111111111111112,0.6171875
23,0.8783783783783784,0.70703125,0.6471471471471472,0.642578125,0.5945945945945946,0.6796875,0.6081081081081081,0.630859375,0.6276276276276276,0.630859375
