data size,Ours,ResNet-50,ResNet-101,ResNext-50,ResNext-101,ResNeXt-50,ResNeXt-101
fold_1,0.9763713080168775,0.8928270042194093,0.9029535864978904,,,0.8995780590717299,0.9088607594936708
fold_2,0.980590717299578,0.9282700421940928,0.7358649789029535,,,0.9105485232067512,0.7814345991561181
fold_3,0.9738396624472574,0.8970464135021097,0.8751054852320675,,,0.9341772151898734,0.8793248945147679
fold_4,0.9814345991561182,0.7544303797468355,0.7172995780590717,,,0.9350210970464136,0.9130801687763712
fold_5,0.9839527027027029,0.9282094594594594,0.9341216216216216,,,0.9451013513513512,0.9358108108108107
