Epoch,Ours_Train,Ours_Test,ResNet-50_Train,ResNet-50_Test,ResNet-101_Train,ResNet-101_Test,ResNext-50_Train,ResNext-50_Test,ResNext-101_Train,ResNext-101_Test
1,0.4752252252252252,0.583984375,0.4166666666666667,0.462890625,0.4234234234234234,0.302734375,0.4189189189189189,0.44921875,0.4876126126126126,0.45703125
2,0.5720720720720721,0.62109375,0.4966216216216216,0.529296875,0.4954954954954955,0.544921875,0.4752252252252252,0.53515625,0.5326576576576577,0.345703125
3,0.6081081081081081,0.66015625,0.5484234234234234,0.626953125,0.5405405405405406,0.546875,0.5112612612612613,0.521484375,0.5247747747747747,0.5234375
4,0.6283783783783784,0.63671875,0.5709459459459459,0.541015625,0.545045045045045,0.55078125,0.5304054054054054,0.552734375,0.5202702702702703,0.517578125
5,0.6790540540540541,0.650390625,0.5518018018018018,0.552734375,0.5213963963963963,0.6484375,0.5506756756756757,0.611328125,0.543918918918919,0.60546875
6,0.7162162162162162,0.64453125,0.5698198198198198,0.55078125,0.5484234234234234,0.611328125,0.5608108108108109,0.630859375,0.5157657657657657,0.578125
7,0.7263513513513513,0.6640625,0.5641891891891891,0.609375,0.597972972972973,0.546875,0.5394144144144144,0.5625,0.5664414414414415,0.59375
8,0.7736486486486487,0.615234375,0.6306306306306306,0.640625,0.5968468468468469,0.568359375,0.5788288288288288,0.54296875,0.5743243243243243,0.646484375
9,0.7961711711711712,0.6015625,0.5934684684684685,0.607421875,0.6002252252252253,0.447265625,0.543918918918919,0.5546875,0.5709459459459459,0.578125
10,0.8029279279279279,0.66015625,0.6193693693693694,0.525390625,0.5608108108108109,0.509765625,0.5563063063063063,0.57421875,0.5529279279279279,0.525390625
11,0.7815315315315315,0.634765625,0.6058558558558559,0.576171875,0.597972972972973,0.64453125,0.5630630630630631,0.58984375,0.5540540540540541,0.591796875
12,0.8164414414414415,0.66015625,0.6283783783783784,0.4921875,0.6002252252252253,0.546875,0.5878378378378378,0.578125,0.5743243243243243,0.64453125
13,0.831081081081081,0.662109375,0.6036036036036037,0.615234375,0.5957207207207207,0.611328125,0.6103603603603603,0.607421875,0.5765765765765766,0.60546875
14,0.8581081081081081,0.67578125,0.6418918918918919,0.626953125,0.6069819819819819,0.509765625,0.6295045045045045,0.615234375,0.5844594594594594,0.57421875
15,0.8716216216216216,0.671875,0.6486486486486487,0.58203125,0.6024774774774775,0.5703125,0.6024774774774775,0.564453125,0.5630630630630631,0.560546875
16,0.8637387387387387,0.65625,0.6407657657657657,0.580078125,0.6295045045045045,0.658203125,0.5912162162162162,0.62109375,0.5675675675675675,0.357421875
17,0.8569819819819819,0.673828125,0.6137387387387387,0.59765625,0.6193693693693694,0.439453125,0.6103603603603603,0.59375,0.5878378378378378,0.60546875
18,0.8716216216216216,0.59375,0.6554054054054054,0.6015625,0.5675675675675675,0.607421875,0.6182432432432432,0.580078125,0.5720720720720721,0.435546875
19,0.8412162162162162,0.68359375,0.6283783783783784,0.513671875,0.5990990990990991,0.630859375,0.6204954954954955,0.59375,0.5641891891891891,0.537109375
20,0.8828828828828829,0.65625,0.6385135135135135,0.515625,0.6013513513513513,0.576171875,0.6103603603603603,0.544921875,0.5349099099099099,0.572265625
21,0.9031531531531533,0.6640625,0.6475225225225225,0.638671875,0.634009009009009,0.6015625,0.6081081081081081,0.5390625,0.6058558558558559,0.54296875
22,0.9132882882882885,0.671875,0.6509009009009009,0.62109375,0.6497747747747747,0.61328125,0.6148648648648649,0.576171875,0.5912162162162162,0.591796875
23,0.884009009009009,0.64453125,0.6407657657657657,0.59765625,0.634009009009009,0.61328125,0.6306306306306306,0.626953125,0.5709459459459459,0.6171875
24,0.9087837837837838,0.662109375,0.6497747747747747,0.62890625,0.6407657657657657,0.515625,0.6486486486486487,0.5390625,0.615990990990991,0.61328125
25,0.8885135135135135,0.681640625,0.6306306306306306,0.662109375,0.6081081081081081,0.650390625,0.6171171171171171,0.62109375,0.625,0.58203125
26,0.9054054054054054,0.6953125,0.661036036036036,0.64453125,0.6137387387387387,0.609375,0.6497747747747747,0.611328125,0.5912162162162162,0.6484375
27,0.9042792792792792,0.673828125,0.6632882882882883,0.654296875,0.661036036036036,0.58984375,0.661036036036036,0.626953125,0.6114864864864865,0.642578125
28,0.9222972972972971,0.669921875,0.661036036036036,0.609375,0.6283783783783784,0.587890625,0.6418918918918919,0.505859375,0.5822072072072072,0.646484375
29,0.9121621621621622,0.638671875,0.668918918918919,0.595703125,0.6261261261261262,0.603515625,0.6306306306306306,0.603515625,0.6182432432432432,0.642578125
30,0.9121621621621622,0.658203125,0.661036036036036,0.638671875,0.6114864864864865,0.587890625,0.6486486486486487,0.572265625,0.6182432432432432,0.6328125
31,0.8975225225225225,0.642578125,0.6745495495495496,0.66796875,0.6509009009009009,0.65234375,0.6677927927927928,0.646484375,0.6103603603603603,0.6015625
32,0.8975225225225225,0.666015625,0.6846846846846847,0.603515625,0.6486486486486487,0.52734375,0.670045045045045,0.646484375,0.5945945945945946,0.603515625
33,0.9324324324324323,0.689453125,0.6993243243243243,0.53125,0.6418918918918919,0.6015625,0.6880630630630631,0.537109375,0.6114864864864865,0.607421875
34,0.9177927927927928,0.6875,0.6756756756756757,0.64453125,0.6497747747747747,0.58203125,0.670045045045045,0.59765625,0.5912162162162162,0.609375
35,0.9234234234234234,0.66796875,0.7162162162162162,0.646484375,0.661036036036036,0.61328125,0.6734234234234234,0.587890625,0.6407657657657657,0.62890625
36,0.9301801801801802,0.671875,0.6790540540540541,0.658203125,0.6509009009009009,0.576171875,0.6756756756756757,0.57421875,0.6216216216216216,0.595703125
37,0.927927927927928,0.65625,0.7004504504504504,0.599609375,0.6621621621621622,0.61328125,0.6959459459459459,0.62890625,0.634009009009009,0.529296875
38,0.9054054054054054,0.67578125,0.6768018018018018,0.603515625,0.6655405405405406,0.57421875,0.7004504504504504,0.630859375,0.6171171171171171,0.564453125
39,0.927927927927928,0.669921875,0.6925675675675675,0.6328125,0.6565315315315315,0.52734375,0.7173423423423423,0.623046875,0.6058558558558559,0.591796875
