Epoch,Ours,ResNet-50,ResNet-101,ResNeXt-50,ResNeXt-101
1,1.191289945082231,4.642729759216309,4.78188646923412,4.606934243982488,4.285457849502564
2,1.0114669745618647,1.968812812458385,2.028670235113664,2.12688392942602,1.9783004847439851
3,0.9383209239352832,1.9386778636412187,1.9905063780871304,1.8914042928002095,1.9362886927344585
4,0.8960350968620994,1.8917335271835327,1.9382068027149548,1.8688868284225464,1.873095479878512
5,0.7942258227955211,1.8278493772853504,1.9102163423191416,1.7814848964864558,1.8775140805677932
6,0.7195291139862754,1.8164896423166448,1.878196727145802,1.812709407372908,1.8310859528454868
7,0.7455098195509477,1.8162136619741267,1.8365293524482036,1.8295957500284368,1.836237582293424
8,0.6727630875327371,1.7524232214147395,1.8606671420010652,1.813153060999784,1.8551557714288884
9,0.6208554397929799,1.8343423496593128,1.9402161944996228,1.7658299532803623,1.833535606210882
10,0.5810209187594327,1.7655122388492932,1.9502648331902244,1.780430327762257,1.782668406313116
11,0.5493454499678179,1.7908962856639514,1.8667890266938645,1.7416215376420454,1.8216597708788784
12,0.5410152294419028,1.8040822310881184,1.860377506776289,1.7523692737926135,1.816408417441628
13,0.5089783776890148,1.7676432891325518,1.7968585274436255,1.7482506036758425,1.7960177009755915
14,0.5474713471802798,1.7396693988279863,1.8729210658506916,1.7038818055933171,1.8148875453255395
15,0.4934811483729969,1.6560386961156672,1.8713610497387971,1.7439573786475442,1.819888710975647
16,0.5058004232970151,1.700236201286316,1.8358789465644143,1.8044214898889717,1.7810542041605169
17,0.4635997929356314,1.7464436509392478,1.829083410176364,1.7153075283223933,1.7991541190580889
18,0.488513326103037,1.7320839275013318,1.875558094544844,1.6760941743850708,1.7661900086836382
19,0.4551773260940205,1.7194643020629885,1.852258378809149,1.6825432018800217,1.7978797392411665
20,0.4700592864643443,1.6682708155025134,1.824810320680792,1.660610318183899,1.8013076131994077
21,0.4841229888525876,1.7211129990491,1.805386023087935,1.673503279685974,1.7583662271499634
22,0.4363313181833787,1.7123089812018657,1.8079892613671045,1.7057591134851628,1.7254291339354082
23,0.4494362717325037,1.6983207139101897,1.8524064800956035,1.6537109505046497,1.7102242274717852
24,0.4906059178439053,1.6739116582003506,1.8239435824480923,1.6215112859552556,1.76237812909213
25,0.4341686259616505,1.7299811514941128,1.8034405708312988,1.653841495513916,1.7084582177075474
26,0.4672237065705386,1.649692177772522,1.7867652828043157,1.6422507004304363,1.7347592332146384
27,0.4406375126405196,1.6372042569247158,1.7878056331114336,1.5929636305028745,1.7652046030217952
28,0.4563371945511211,1.639409216967496,1.8358991579575967,1.6077793728221546,1.717758384617892
29,0.4277872307734056,1.5963320081884211,1.809707468206232,1.6069137074730613,1.6850274476138027
30,0.4061163122003728,1.6610222079537131,1.838631651618264,1.5954219536347822,1.7067379409616643
31,0.3958529179746454,1.5767430934039028,1.7729734182357788,1.546056173064492,1.6681868813254617
32,0.4053690162571994,1.5902928547425703,1.7944636236537586,1.615928834134882,1.7138964262875644
33,0.4047921137376265,1.566848267208446,1.8473349592902444,1.6294875036586414,1.6337340853431008
34,0.408273772759871,1.6235954436388882,1.788423559882424,1.551669023253701,1.6547099351882937
35,0.4270707666873932,1.6229038888757878,1.7791138670661233,1.5905466188083996,1.7441358999772505
36,0.4437386501919139,1.5666080821644175,1.7726602445949209,1.4996794895692305,1.709341829473322
37,0.4122696085409684,1.6165067824450403,1.7883446324955334,1.5242084698243574,1.6653597896749324
38,0.3908528224988417,1.545804121277549,1.717166987332431,1.5119833946228027,1.653030742298473
39,0.4124878346920013,1.5156787850640037,1.726717472076416,1.526431842283769,1.6765939647501165
40,0.3880688222971829,1.5923393856395374,1.7871983593160456,1.5512410402297974,1.6525860049507834
41,0.3930737836794419,1.5144845138896594,1.772634668783708,1.5136202031915835,1.6047247756611218
42,0.3899199745871804,1.536226673559709,1.7031113342805342,1.4631946737116033,1.7070724313909358
43,0.4018389880657196,1.5260212854905562,1.7571651393716985,1.4893750494176692,1.6182544231414795
44,0.3735303472388874,1.527479193427346,1.7246923446655271,1.460891582749107,1.645284349268133
45,0.4066442820158871,1.5590164444663308,1.7343149076808582,1.5072030479257756,1.614414702762257
46,0.3809529028155587,1.5348915403539485,1.741009766405279,1.5261514078487048,1.5934238867326216
47,0.380617309700359,1.5302931720560249,1.7630605697631836,1.5540452978827737,1.56829664923928
48,0.3784229809587652,1.516774968667464,1.7318818785927512,1.4951192140579224,1.6131221706216985
49,0.3689072917808186,1.456844839182767,1.6874057379635898,1.4480159174312244,1.5299351432106711
50,0.365545779466629,1.458542693745006,1.7201945239847356,1.4421869733116843,1.539617809382352
51,0.389025942845778,1.4788814241235906,1.7292803634296765,1.4910081191496416,1.5584023540670222
52,0.3879584507508711,1.4425094452771274,1.7790972211144187,1.4514005184173584,1.5838721015236594
