Epoch,Ours_Train,Ours_Test,ResNet-50_Train,ResNet-50_Test,ResNet-101_Train,ResNet-101_Test,ResNeXt-50_Train,ResNeXt-50_Test,ResNeXt-101_Train,ResNeXt-101_Test
1,0.4837837837837838,0.46484375,0.4054054054054054,0.1953125,0.4405405405405405,0.51171875,0.4,0.169921875,0.4216216216216216,0.427734375
2,0.5337837837837838,0.603515625,0.504054054054054,0.5859375,0.5081081081081081,0.541015625,0.4824324324324324,0.513671875,0.504054054054054,0.533203125
3,0.6297297297297297,0.642578125,0.5337837837837838,0.56640625,0.5216216216216216,0.55859375,0.5121621621621621,0.4765625,0.5540540540540541,0.62890625
4,0.6594594594594595,0.64453125,0.5513513513513514,0.59375,0.5256756756756756,0.541015625,0.5013513513513513,0.427734375,0.5202702702702703,0.5859375
5,0.7040540540540541,0.638671875,0.5405405405405406,0.58203125,0.5310810810810811,0.541015625,0.5148648648648648,0.412109375,0.5472972972972973,0.591796875
6,0.7351351351351352,0.609375,0.5689189189189189,0.595703125,0.5540540540540541,0.62890625,0.5121621621621621,0.595703125,0.5418918918918919,0.5703125
7,0.7013513513513514,0.625,0.5716216216216217,0.623046875,0.5351351351351351,0.5234375,0.5594594594594594,0.451171875,0.5472972972972973,0.583984375
8,0.7527027027027027,0.662109375,0.5864864864864865,0.5859375,0.5432432432432432,0.587890625,0.5216216216216216,0.544921875,0.5824324324324325,0.587890625
9,0.745945945945946,0.6484375,0.572972972972973,0.6328125,0.5662162162162162,0.517578125,0.5405405405405406,0.548828125,0.5716216216216217,0.533203125
10,0.7608108108108108,0.673828125,0.6,0.568359375,0.5324324324324324,0.61328125,0.5445945945945946,0.615234375,0.5662162162162162,0.564453125
11,0.7851351351351351,0.673828125,0.5459459459459459,0.5078125,0.5824324324324325,0.521484375,0.5472972972972973,0.470703125,0.5675675675675675,0.560546875
12,0.8,0.642578125,0.6067567567567568,0.607421875,0.5932432432432433,0.560546875,0.5310810810810811,0.537109375,0.5418918918918919,0.611328125
13,0.7891891891891892,0.666015625,0.6013513513513513,0.587890625,0.5648648648648649,0.5234375,0.5405405405405406,0.5,0.5756756756756757,0.537109375
14,0.7959459459459459,0.685546875,0.6148648648648649,0.55078125,0.577027027027027,0.619140625,0.5432432432432432,0.587890625,0.5608108108108109,0.638671875
15,0.8351351351351352,0.666015625,0.5945945945945946,0.626953125,0.5864864864864865,0.490234375,0.5364864864864864,0.525390625,0.577027027027027,0.54296875
16,0.8351351351351352,0.654296875,0.6040540540540541,0.57421875,0.6027027027027027,0.587890625,0.5554054054054054,0.46875,0.6189189189189189,0.60546875
17,0.8432432432432433,0.65625,0.6283783783783784,0.61328125,0.5864864864864865,0.615234375,0.5716216216216217,0.583984375,0.5824324324324325,0.552734375
18,0.8635135135135135,0.662109375,0.6391891891891892,0.52734375,0.5972972972972973,0.556640625,0.5918918918918918,0.556640625,0.5351351351351351,0.56640625
19,0.8959459459459459,0.677734375,0.6040540540540541,0.591796875,0.5837837837837838,0.595703125,0.5716216216216217,0.55859375,0.5851351351351352,0.568359375
20,0.8297297297297297,0.623046875,0.5878378378378378,0.654296875,0.6256756756756757,0.576171875,0.5864864864864865,0.46875,0.6094594594594595,0.58203125
21,0.8743243243243243,0.640625,0.5932432432432433,0.63671875,0.6054054054054054,0.58984375,0.5513513513513514,0.513671875,0.5972972972972973,0.625
22,0.9067567567567568,0.662109375,0.5918918918918918,0.6015625,0.5932432432432433,0.564453125,0.5932432432432433,0.61328125,0.6040540540540541,0.587890625
23,0.8932432432432432,0.64453125,0.6418918918918919,0.595703125,0.6216216216216216,0.58203125,0.5797297297297297,0.6015625,0.5297297297297298,0.529296875
24,0.8743243243243243,0.64453125,0.6554054054054054,0.6015625,0.6202702702702703,0.6328125,0.5905405405405405,0.63671875,0.5662162162162162,0.60546875
25,0.904054054054054,0.6640625,0.6405405405405405,0.478515625,0.6013513513513513,0.650390625,0.6067567567567568,0.61328125,0.6081081081081081,0.611328125
26,0.8837837837837837,0.65625,0.5337837837837838,0.560546875,0.6054054054054054,0.6484375,0.6054054054054054,0.62109375,0.5851351351351352,0.603515625
27,0.8959459459459459,0.671875,0.55,0.54296875,0.6040540540540541,0.626953125,0.5756756756756757,0.62109375,0.6216216216216216,0.58203125
28,0.9162162162162162,0.69140625,0.5918918918918918,0.568359375,0.6135135135135135,0.63671875,0.6027027027027027,0.57421875,0.5851351351351352,0.6015625
29,0.9108108108108108,0.673828125,0.6013513513513513,0.55078125,0.6067567567567568,0.609375,0.5878378378378378,0.61328125,0.6013513513513513,0.6484375
30,0.8972972972972973,0.69140625,0.6256756756756757,0.4921875,0.5864864864864865,0.59375,0.5783783783783784,0.607421875,0.6202702702702703,0.607421875
31,0.9135135135135136,0.658203125,0.6040540540540541,0.609375,0.6054054054054054,0.607421875,0.6,0.560546875,0.5972972972972973,0.5625
32,0.9216216216216216,0.67578125,0.6527027027027027,0.630859375,0.6162162162162163,0.58203125,0.5945945945945946,0.6015625,0.668918918918919,0.494140625
33,0.927027027027027,0.642578125,0.6121621621621621,0.640625,0.6554054054054054,0.607421875,0.6094594594594595,0.626953125,0.6351351351351351,0.53125
34,0.918918918918919,0.68359375,0.6324324324324324,0.6328125,0.6081081081081081,0.546875,0.5905405405405405,0.595703125,0.6216216216216216,0.611328125
35,0.9297297297297298,0.68359375,0.6445945945945946,0.599609375,0.6310810810810811,0.60546875,0.595945945945946,0.55078125,0.6567567567567567,0.59375
36,0.9364864864864864,0.689453125,0.6702702702702703,0.591796875,0.6378378378378379,0.595703125,0.6013513513513513,0.603515625,0.6391891891891892,0.6171875
37,0.9378378378378378,0.666015625,0.65,0.572265625,0.6351351351351351,0.6484375,0.6243243243243243,0.587890625,0.6121621621621621,0.59765625
38,0.918918918918919,0.654296875,0.6162162162162163,0.658203125,0.6418918918918919,0.5546875,0.6256756756756757,0.56640625,0.5878378378378378,0.615234375
39,0.9108108108108108,0.6484375,0.6432432432432432,0.58203125,0.6405405405405405,0.626953125,0.6783783783783783,0.62109375,0.6283783783783784,0.6015625
40,0.9324324324324323,0.66796875,0.6459459459459459,0.619140625,0.65,0.634765625,0.65,0.583984375,0.6310810810810811,0.6171875
41,0.9216216216216216,0.689453125,0.6472972972972973,0.619140625,0.6229729729729729,0.603515625,0.6162162162162163,0.623046875,0.6472972972972973,0.6328125
42,0.9108108108108108,0.662109375,0.6675675675675675,0.623046875,0.6513513513513514,0.5703125,0.6581081081081082,0.638671875,0.6527027027027027,0.607421875
43,0.9108108108108108,0.673828125,0.6621621621621622,0.61328125,0.6337837837837837,0.646484375,0.6527027027027027,0.6328125,0.6581081081081082,0.642578125
44,0.8702702702702703,0.650390625,0.6972972972972973,0.57421875,0.6310810810810811,0.626953125,0.6581081081081082,0.556640625,0.6513513513513514,0.568359375
45,0.9216216216216216,0.6875,0.6864864864864865,0.48046875,0.6432432432432432,0.599609375,0.6594594594594595,0.505859375,0.6418918918918919,0.623046875
46,0.9472972972972972,0.68359375,0.7027027027027027,0.6328125,0.6364864864864865,0.595703125,0.6243243243243243,0.55859375,0.6851351351351351,0.556640625
47,0.941891891891892,0.677734375,0.6797297297297298,0.623046875,0.6432432432432432,0.58984375,0.6324324324324324,0.576171875,0.6189189189189189,0.564453125
48,0.945945945945946,0.650390625,0.6905405405405406,0.578125,0.6283783783783784,0.576171875,0.6391891891891892,0.61328125,0.6405405405405405,0.615234375
49,0.8986486486486487,0.65234375,0.6716216216216216,0.5859375,0.6486486486486487,0.607421875,0.6324324324324324,0.578125,0.668918918918919,0.611328125
50,0.9216216216216216,0.693359375,0.6756756756756757,0.59375,0.6702702702702703,0.640625,0.6567567567567567,0.498046875,0.6851351351351351,0.587890625
51,0.922972972972973,0.6640625,0.668918918918919,0.49609375,0.6581081081081082,0.591796875,0.6621621621621622,0.58984375,0.6648648648648648,0.607421875
52,0.9243243243243244,0.6484375,0.6891891891891891,0.625,0.6608108108108108,0.552734375,0.6418918918918919,0.58984375,0.6621621621621622,0.62890625
53,0.9283783783783784,0.66796875,0.6837837837837838,0.6171875,0.65,0.583984375,0.6432432432432432,0.4765625,0.6432432432432432,0.619140625
54,0.9445945945945946,0.681640625,0.6959459459459459,0.64453125,0.6675675675675675,0.595703125,0.6405405405405405,0.599609375,0.6662162162162162,0.455078125
55,0.9202702702702704,0.681640625,0.6905405405405406,0.595703125,0.6459459459459459,0.650390625,0.6675675675675675,0.626953125,0.6662162162162162,0.537109375
56,0.9337837837837838,0.66796875,0.6189189189189189,0.58203125,0.677027027027027,0.607421875,0.6824324324324325,0.50390625,0.6635135135135135,0.625
57,0.9324324324324323,0.66015625,0.6797297297297298,0.591796875,0.6648648648648648,0.583984375,0.6662162162162162,0.591796875,0.7054054054054054,0.5703125
58,0.941891891891892,0.669921875,0.6810810810810811,0.55859375,0.6905405405405406,0.599609375,0.668918918918919,0.6171875,0.6864864864864865,0.615234375
59,0.9337837837837838,0.630859375,0.6743243243243243,0.61328125,0.6594594594594595,0.607421875,0.6716216216216216,0.5625,0.6675675675675675,0.58984375
