Epoch,Ours,ResNet-50,ResNet-101,ResNeXt-50,ResNeXt-101
1,1.1520006411215835,2.8192456750308765,2.901418517617618,2.8542693853378296,2.8640370544265297
2,0.9543711858637192,1.8728585488655989,1.9285104520180647,1.910420354674844,1.8779277626205888
3,0.871434699086582,1.8340901241582983,1.8879704826018389,1.8905375880353592,1.846965011428384
4,0.8728511684081134,1.7879477739334106,1.8812961928984695,1.8246913622407352,1.8393344002611496
5,0.7994711206239813,1.8433834209161648,1.8820395329419304,1.8241778261521284,1.8330381547703465
6,0.7428290861494401,1.8424514426904568,1.862233530072605,1.8003851210369783,1.81041516977198
7,0.7372143110808205,1.8136301917188309,1.8731982953408184,1.774417312706218,1.845876041580649
8,0.6935031747116762,1.816791439757628,1.8387093333637008,1.7689507708829992,1.779816241825328
9,0.6666116547935149,1.7766835303867563,1.8192159428316004,1.7798265358980965,1.7882069314227385
10,0.68427855126998,1.7784521159003763,1.824231820947984,1.7532580985742456,1.829756803372327
11,0.6674252450466156,1.7703135223949658,1.818042961990132,1.7636846935047823,1.7867894488222458
12,0.612832165816251,1.777395925101112,1.8132747061112349,1.7279639664818258,1.7782367397757135
13,0.6040012363125297,1.771426547976101,1.8284341096878047,1.7500338063520544,1.748828516286962
14,0.5981251974316204,1.7511973170673143,1.8100293734494377,1.775429185699014,1.7420933211550993
15,0.577942381886875,1.759575703564812,1.804391450741712,1.7496651130564072,1.7877561730497025
16,0.577185415169772,1.757387070094838,1.7991368700476251,1.792673847254585,1.7535498387673325
17,0.5382304393193301,1.7770755080615772,1.7666699851260466,1.7621751813327564,1.73497654059354
18,0.5465254853753483,1.7392093363930197,1.7921397615881527,1.7407148199922895,1.771549964652342
19,0.541983012767399,1.7297644685296452,1.7921601674135994,1.6922887844197891,1.712754880680757
20,0.5370664614088395,1.7537994630196516,1.7918299506692326,1.725821431945352,1.750368728357203
21,0.5254250738550635,1.7565138690611894,1.791050458655638,1.7050046605222366,1.7024564567734213
22,0.5349831020130831,1.7376228045014774,1.7871026992797852,1.677645651733174,1.74721363362144
23,0.4739264390047858,1.727926366469439,1.7840308266527511,1.7079148292541504,1.707193784853991
24,0.4867025052799898,1.7385282551541048,1.7723919889506172,1.6857060404384838,1.7187158570570105
25,0.494146762525334,1.756388997330385,1.7688962641884298,1.668585181236267,1.7454981593524708
26,0.5155197408269433,1.7399256159277523,1.7729630400152767,1.6526958486613106,1.700104815118453
27,0.4971765306066064,1.7072121150353377,1.7814326777177698,1.6687711372094995,1.7133905116249533
28,0.483704372363932,1.7074919483240911,1.747814977870268,1.6357783745316898,1.723706974702723
29,0.4868821528028039,1.7033562484909506,1.758176929810468,1.650653229040258,1.6816097743370957
30,0.4861503225915572,1.691074988421272,1.750582467107212,1.6465432924382828,1.7075294361394997
