Epoch,Ours,ResNet-50,ResNet-101,ResNext-50,ResNext-101
1,1.0221098903063182,2.728421949051522,2.971625724354306,2.914455897099263,2.657451578088709
2,0.9321806253613651,1.8576048709250783,1.896211943110904,1.8917470332738515,1.860557343508746
3,0.8815903760291435,1.852277472212508,1.8466883382281745,1.864632883587399,1.8510520361565252
4,0.850723152225082,1.826581223590954,1.8283430337905884,1.8560389441412848,1.8439728408246427
5,0.8127378241435902,1.804510548308089,1.8198870066049937,1.847520573719128,1.8434395081288104
6,0.784388770928254,1.800767737465936,1.8131709421003184,1.8275629249778955,1.8191212351257735
7,0.7501190417521709,1.7889861158422522,1.8148926625380648,1.8185544110633232,1.822470159144015
8,0.6946726183633547,1.7963646489220697,1.793426420237567,1.7917075769321338,1.797847541602882
9,0.6459553241729736,1.7900330247105778,1.8012572075869586,1.78123330747759,1.8732959547558343
10,0.6602627135611869,1.783487600249213,1.7818360135361957,1.7816726065970756,1.8043570389618744
11,0.6260470868767919,1.7616750452969523,1.7796796850256018,1.757446111859502,1.8244537952783944
12,0.5986035925311011,1.7567396453908972,1.7894031679308091,1.7823599770262435,1.7741069117107906
13,0.6061396333011421,1.7290289724195325,1.7654651564520758,1.791137237806578,1.8049297268326217
14,0.550442365375725,1.7684421120463192,1.7782480587830414,1.7377485036849976,1.7843164205551147
15,0.5702127049098143,1.7520019943649705,1.7748768684026357,1.753483408206218,1.7587097593255945
16,0.5743237129739813,1.7727902225545935,1.7706798927204028,1.746862791680001,1.76411755020554
17,0.5438514255188607,1.7265886197219025,1.7516142484304067,1.6850443305195988,1.7952877186440133
18,0.5502543167487995,1.7248496912621163,1.7613370096361316,1.7096284337945886,1.7855977335491695
19,0.5659402633035505,1.7428610582609434,1.7628031163602262,1.7137352453695762,1.751750163129858
20,0.5202020825566472,1.7148417105545868,1.749012776323267,1.675819741713034,1.745319920617181
21,0.5118161278801996,1.7446746214016065,1.7696900496611725,1.7019172713563249,1.754136230494525
22,0.4875925569920926,1.7125604635960348,1.7407347253850989,1.681640802202998,1.7390421210108578
23,0.5090401736465661,1.711721439619322,1.7510184532887227,1.6838483681549896,1.7475112902151573
24,0.5048569819411716,1.7383568190239571,1.750043021666037,1.6768760230090167,1.749773164053221
25,0.502768767041129,1.7180937206422962,1.7376432773229238,1.673500354225571,1.7405697687252148
26,0.4786002313768541,1.718523070618913,1.7217250450237378,1.6604046467188245,1.7316562130644515
