Epoch,Ours,ResNet-50,ResNet-101,ResNext-50,ResNext-101
1,1.0733369688193004,3.152590438723564,3.136697312196096,3.2433760861555734,3.323515772819519
2,1.0035946716864903,1.9198166529337568,1.9146492878595989,2.0317384749650955,1.9154710719982784
3,0.8588177710771561,1.8822753032048545,1.8703670750061672,1.957603727777799,1.850870504975319
4,0.8433999245365461,1.825780063867569,1.9064513593912125,1.9947154571612675,1.8747330407301583
5,0.7679943343003591,1.8131159196297328,1.8534069508314133,1.9445783744255705,1.8459799985090888
6,0.7252925336360931,1.799297208587329,1.8565975079933803,1.942704906066259,1.8621667524178824
7,0.7707028202712536,1.7970715910196304,1.855226049820582,1.891585816939672,1.8566819578409195
8,0.7308834989865621,1.7882454494635265,1.867455636461576,1.9189149389664333,1.8047857930262885
9,0.7432749271392822,1.811594679951668,1.8198605924844744,1.8595282783110936,1.857641691962878
10,0.6896110624074936,1.813355088233948,1.8319172610839207,1.8924889316161475,1.8587207148472469
11,0.6605591028928757,1.8099738508462904,1.8076102981964748,1.857043519616127,1.864686777194341
12,0.6555084859331449,1.7940180997053785,1.7896823684374492,1.871298039952914,1.8585159828265507
13,0.6567583208282789,1.7840306063493092,1.832067772746086,1.9052084783713024,1.8728978882233305
14,0.6390896427134672,1.768918087085088,1.79101625084877,1.8552625427643457,1.8414322684208555
15,0.6180094095567862,1.771536832054456,1.791693275173505,1.8275454292694728,1.7977490921815236
16,0.5896244781712691,1.748630220691363,1.7818482965230942,1.8354339847962065,1.8003783822059631
17,0.5709543687601885,1.7813095847765603,1.809924438595772,1.8411604017019272,1.8430804163217545
18,0.5258948306242625,1.7297630459070206,1.7842574963967006,1.784375622868538,1.8575167953968048
19,0.502847413221995,1.7971213559309642,1.770455638567607,1.8060456216335297,1.8176628947258
20,0.5786962918937206,1.802912046511968,1.7630915244420369,1.8347922662893927,1.7744564960400264
21,0.5369854035476843,1.7462901175022123,1.7894784559806187,1.838980992635091,1.781025404731433
22,0.5039065120120844,1.7366170585155487,1.7715982347726822,1.8170097867647808,1.7773668418327968
23,0.5054529483119646,1.736379861831665,1.7517015635967257,1.841869647304217,1.8723885367314024
24,0.5325721328457197,1.7055051724116008,1.7720697075128555,1.7976978421211245,1.8397925347089767
25,0.4793364318708579,1.713246946533521,1.7415041426817577,1.809008498986562,1.8232190012931824
26,0.4880659977595011,1.8888496806224184,1.7379088898499806,1.7887275864680607,1.756000007192294
27,0.4881779042383035,1.8177790691455205,1.7776985168457031,1.775553658604622,1.7538813302914302
28,0.4708148141702016,1.805905838807424,1.7167203774054844,1.7853732705116272,1.795310894648234
29,0.4767639103035132,1.7368446042140324,1.759778544306755,1.8192049860954285,1.7607250958681109
30,0.4848047407964865,1.7739638487497966,1.8032241215308509,1.8046832134326296,1.7716841399669647
31,0.4728114865720272,1.767176737387975,1.7652441958586376,1.838766371210416,1.7744186868270238
32,0.4609040307501952,1.7567532608906429,1.757778823375702,1.793925662835439,1.707406297326088
33,0.4412207491695881,1.7647153437137604,1.7577763497829435,1.7862133234739304,1.7525674055020015
34,0.4442456314961115,1.7253091037273407,1.7771653980016708,1.7995826800664263,1.7542780141035716
35,0.4359971197942893,1.7117099910974505,1.7438053091367085,1.7308772752682369,1.729980746905009
36,0.4283278236786524,1.7180239856243134,1.7337968051433563,1.752738614877065,1.71840704480807
37,0.4330191959937413,1.721258079012235,1.7258724023898442,1.7777213702599208,1.738885521888733
38,0.4475445076823234,1.768261154492696,1.7237933079401653,1.7241358558336894,1.7840767254432042
39,0.4528185402353604,1.7118779371182125,1.747106984257698,1.6964125682910285,1.7683070252339046
40,0.4354421074191729,1.7149323572715125,1.7463996857404709,1.7260127067565918,1.765132839481036
