Epoch,Ours ,ResNet-50,ResNet-101,ResNeXt-50,ResNeXt-101
1,0.4,0.3,0.27,0,0
20,0.6,0.45,0.48,0,0
40,0.66,0.61,0.58,0,0
60,0.72,0.68,0.64,0,0
80,0.77,0.7,0.67,0,0
100,0.82,0.72,0.75,0,0
140,0.88,0.79,0.82,0,0
180,0.96,0.89,0.88,0,0
